date,time,match,referee,score,home_goals,away_goals,home_team,away_team,match_week
2024-09-16,19:00,Rayo Vallecano - CA Osasuna,Alejandro Quintero González,3 - 1,3,1,Rayo Vallecano,CA Osasuna,5
2024-09-20,19:00,Deportivo Alavés - Sevilla FC,Javier Alberola Rojas,2 - 1,2,1,Deportivo Alavés,Sevilla FC,6
2024-09-21,12:00,Real Valladolid CF - Real Sociedad,Guillermo Cuadra Fernández,0 - 0,0,0,Real Valladolid CF,Real Sociedad,6
2024-09-21,14:15,CA Osasuna - UD Las Palmas,Isidro Díaz de Mera Escuderos,2 - 1,2,1,CA Osasuna,UD Las Palmas,6
2024-09-21,16:30,Valencia CF - Girona FC,Alejandro José Hernández Hernández,2 - 0,2,0,Valencia CF,Girona FC,6
2024-09-21,19:00,Real Madrid - RCD Espanyol de Barcelona,José Luis Munuera Montero,4 - 1,4,1,Real Madrid,RCD Espanyol de Barcelona,6
2024-09-22,12:00,Getafe CF - CD Leganés,Adrián Cordero Vega,1 - 1,1,1,Getafe CF,CD Leganés,6
2024-09-22,14:15,Athletic Club - RC Celta,José María Sánchez Martínez,3 - 1,3,1,Athletic Club,RC Celta,6
2024-09-22,16:30,Villarreal CF - FC Barcelona,Mateo Busquets Ferrer,1 - 5,1,5,Villarreal CF,FC Barcelona,6
2024-09-22,19:00,Rayo Vallecano - Atlético de Madrid,Mario Melero López,1 - 1,1,1,Rayo Vallecano,Atlético de Madrid,6
2024-09-23,19:00,Real Betis - RCD Mallorca,Víctor García Verdura,1 - 2,1,2,Real Betis,RCD Mallorca,6
2024-09-17,17:00,RCD Mallorca - Real Sociedad,Adrián Cordero Vega,1 - 0,1,0,RCD Mallorca,Real Sociedad,7
2024-09-19,17:00,CD Leganés - Athletic Club,Francisco José Hernández Maeso,0 - 2,0,2,CD Leganés,Athletic Club,7
2024-09-24,17:00,Sevilla FC - Real Valladolid CF,Juan Luis Pulido Santana,2 - 1,2,1,Sevilla FC,Real Valladolid CF,7
2024-09-24,17:00,Valencia CF - CA Osasuna,Miguel Ángel Ortiz Arias,0 - 0,0,0,Valencia CF,CA Osasuna,7
2024-09-24,19:00,Real Madrid - Deportivo Alavés,Alejandro Muñiz Ruiz,3 - 2,3,2,Real Madrid,Deportivo Alavés,7
2024-09-25,17:00,Girona FC - Rayo Vallecano,Juan Martínez Munuera,0 - 0,0,0,Girona FC,Rayo Vallecano,7
2024-09-25,19:00,FC Barcelona - Getafe CF,Pablo González Fuertes,1 - 0,1,0,FC Barcelona,Getafe CF,7
2024-09-26,17:00,RCD Espanyol de Barcelona - Villarreal CF,Alejandro Quintero González,1 - 2,1,2,RCD Espanyol de Barcelona,Villarreal CF,7
2024-09-26,17:00,UD Las Palmas - Real Betis,José María Sánchez Martínez,1 - 1,1,1,UD Las Palmas,Real Betis,7
2024-09-26,19:00,RC Celta - Atlético de Madrid,Víctor García Verdura,0 - 1,0,1,RC Celta,Atlético de Madrid,7
2024-09-27,19:00,Real Valladolid CF - RCD Mallorca,José Luis Munuera Montero,1 - 2,1,2,Real Valladolid CF,RCD Mallorca,8
2024-09-28,12:00,Getafe CF - Deportivo Alavés,Isidro Díaz de Mera Escuderos,2 - 0,2,0,Getafe CF,Deportivo Alavés,8
2024-09-28,14:15,Rayo Vallecano - CD Leganés,Alejandro Muñiz Ruiz,1 - 1,1,1,Rayo Vallecano,CD Leganés,8
2024-09-28,16:30,Real Sociedad - Valencia CF,Javier Alberola Rojas,3 - 0,3,0,Real Sociedad,Valencia CF,8
2024-09-28,19:00,CA Osasuna - FC Barcelona,Guillermo Cuadra Fernández,4 - 2,4,2,CA Osasuna,FC Barcelona,8
2024-09-29,12:00,RC Celta - Girona FC,Ricardo De Burgos Bengoetxea,1 - 1,1,1,RC Celta,Girona FC,8
2024-09-29,14:15,Athletic Club - Sevilla FC,César Soto Grado,1 - 1,1,1,Athletic Club,Sevilla FC,8
2024-09-29,16:30,Real Betis - RCD Espanyol de Barcelona,Alejandro José Hernández Hernández,1 - 0,1,0,Real Betis,RCD Espanyol de Barcelona,8
2024-09-29,19:00,Atlético de Madrid - Real Madrid,Mateo Busquets Ferrer,1 - 1,1,1,Atlético de Madrid,Real Madrid,8
2024-09-30,19:00,Villarreal CF - UD Las Palmas,Mario Melero López,3 - 1,3,1,Villarreal CF,UD Las Palmas,8
2024-10-04,19:00,CD Leganés - Valencia CF,Alejandro Quintero González,0 - 0,0,0,CD Leganés,Valencia CF,9
2024-10-05,12:00,RCD Espanyol de Barcelona - RCD Mallorca,Francisco José Hernández Maeso,2 - 1,2,1,RCD Espanyol de Barcelona,RCD Mallorca,9
2024-10-05,14:15,Getafe CF - CA Osasuna,José María Sánchez Martínez,1 - 1,1,1,Getafe CF,CA Osasuna,9
2024-10-05,16:30,UD Las Palmas - RC Celta,Adrián Cordero Vega,0 - 1,0,1,UD Las Palmas,RC Celta,9
2024-10-05,16:30,Real Valladolid CF - Rayo Vallecano,Pablo González Fuertes,1 - 2,1,2,Real Valladolid CF,Rayo Vallecano,9
2024-10-05,19:00,Real Madrid - Villarreal CF,Guillermo Cuadra Fernández,2 - 0,2,0,Real Madrid,Villarreal CF,9
2024-10-06,12:00,Girona FC - Athletic Club,Juan Luis Pulido Santana,2 - 1,2,1,Girona FC,Athletic Club,9
2024-10-06,14:15,Deportivo Alavés - FC Barcelona,Miguel Ángel Ortiz Arias,0 - 3,0,3,Deportivo Alavés,FC Barcelona,9
2024-10-06,16:30,Sevilla FC - Real Betis,Juan Martínez Munuera,1 - 0,1,0,Sevilla FC,Real Betis,9
2024-10-06,19:00,Real Sociedad - Atlético de Madrid,Isidro Díaz de Mera Escuderos,1 - 1,1,1,Real Sociedad,Atlético de Madrid,9
2024-10-18,19:00,Deportivo Alavés - Real Valladolid CF,Mario Melero López,2 - 3,2,3,Deportivo Alavés,Real Valladolid CF,10
2024-10-19,12:00,Athletic Club - RCD Espanyol de Barcelona,Mateo Busquets Ferrer,4 - 1,4,1,Athletic Club,RCD Espanyol de Barcelona,10
2024-10-19,14:15,CA Osasuna - Real Betis,Alejandro Muñiz Ruiz,1 - 2,1,2,CA Osasuna,Real Betis,10
2024-10-19,16:30,Girona FC - Real Sociedad,César Soto Grado,0 - 1,0,1,Girona FC,Real Sociedad,10
2024-10-19,19:00,RC Celta - Real Madrid,Alejandro José Hernández Hernández,1 - 2,1,2,RC Celta,Real Madrid,10
2024-10-20,12:00,RCD Mallorca - Rayo Vallecano,Javier Alberola Rojas,1 - 0,1,0,RCD Mallorca,Rayo Vallecano,10
2024-10-20,14:15,Atlético de Madrid - CD Leganés,José Luis Munuera Montero,3 - 1,3,1,Atlético de Madrid,CD Leganés,10
2024-10-20,16:30,Villarreal CF - Getafe CF,Víctor García Verdura,1 - 1,1,1,Villarreal CF,Getafe CF,10
2024-10-20,19:00,FC Barcelona - Sevilla FC,Ricardo De Burgos Bengoetxea,5 - 1,5,1,FC Barcelona,Sevilla FC,10
2024-10-21,19:00,Valencia CF - UD Las Palmas,Jesús Gil Manzano,2 - 3,2,3,Valencia CF,UD Las Palmas,10
2024-10-25,19:00,RCD Espanyol de Barcelona - Sevilla FC,Miguel Ángel Ortiz Arias,0 - 2,0,2,RCD Espanyol de Barcelona,Sevilla FC,11
2024-10-26,12:00,Real Valladolid CF - Villarreal CF,Francisco José Hernández Maeso,1 - 2,1,2,Real Valladolid CF,Villarreal CF,11
2024-10-26,14:15,Rayo Vallecano - Deportivo Alavés,Adrián Cordero Vega,1 - 0,1,0,Rayo Vallecano,Deportivo Alavés,11
2024-10-26,16:30,UD Las Palmas - Girona FC,Alejandro Quintero González,1 - 0,1,0,UD Las Palmas,Girona FC,11
2024-10-26,19:00,Real Madrid - FC Barcelona,José María Sánchez Martínez,0 - 4,0,4,Real Madrid,FC Barcelona,11
2024-10-27,13:00,CD Leganés - RC Celta,Mario Melero López,3 - 0,3,0,CD Leganés,RC Celta,11
2024-10-27,15:15,Getafe CF - Valencia CF,Guillermo Cuadra Fernández,1 - 1,1,1,Getafe CF,Valencia CF,11
2024-10-27,17:30,Real Betis - Atlético de Madrid,Jesús Gil Manzano,1 - 0,1,0,Real Betis,Atlético de Madrid,11
2024-10-27,20:00,Real Sociedad - CA Osasuna,Juan Luis Pulido Santana,0 - 2,0,2,Real Sociedad,CA Osasuna,11
2024-10-28,20:00,RCD Mallorca - Athletic Club,Juan Martínez Munuera,0 - 0,0,0,RCD Mallorca,Athletic Club,11
2024-11-01,20:00,Deportivo Alavés - RCD Mallorca,Pablo González Fuertes,1 - 0,1,0,Deportivo Alavés,RCD Mallorca,12
2024-11-02,13:00,CA Osasuna - Real Valladolid CF,Víctor García Verdura,1 - 0,1,0,CA Osasuna,Real Valladolid CF,12
2024-11-02,15:15,Girona FC - CD Leganés,Mateo Busquets Ferrer,4 - 3,4,3,Girona FC,CD Leganés,12
2024-11-03,13:00,Atlético de Madrid - UD Las Palmas,Ricardo De Burgos Bengoetxea,2 - 0,2,0,Atlético de Madrid,UD Las Palmas,12
2024-11-03,15:15,FC Barcelona - RCD Espanyol de Barcelona,José Luis Munuera Montero,3 - 1,3,1,FC Barcelona,RCD Espanyol de Barcelona,12
2024-11-03,17:30,Sevilla FC - Real Sociedad,Alejandro Muñiz Ruiz,0 - 2,0,2,Sevilla FC,Real Sociedad,12
2024-11-03,20:00,Athletic Club - Real Betis,Javier Alberola Rojas,1 - 1,1,1,Athletic Club,Real Betis,12
2024-11-04,20:00,RC Celta - Getafe CF,Jesús Gil Manzano,1 - 0,1,0,RC Celta,Getafe CF,12
2024-12-18,20:30,Villarreal CF - Rayo Vallecano,Alejandro José Hernández Hernández,1 - 1,1,1,Villarreal CF,Rayo Vallecano,12
2025-01-03,20:00,Valencia CF - Real Madrid,César Soto Grado,1 - 2,1,2,Valencia CF,Real Madrid,12
2024-11-08,20:00,Rayo Vallecano - UD Las Palmas,Francisco José Hernández Maeso,1 - 3,1,3,Rayo Vallecano,UD Las Palmas,13
2024-11-09,13:00,Real Madrid - CA Osasuna,Mario Melero López,4 - 0,4,0,Real Madrid,CA Osasuna,13
2024-11-09,15:15,Villarreal CF - Deportivo Alavés,Alejandro Quintero González,3 - 0,3,0,Villarreal CF,Deportivo Alavés,13
2024-11-09,20:00,CD Leganés - Sevilla FC,Juan Luis Pulido Santana,1 - 0,1,0,CD Leganés,Sevilla FC,13
2024-11-10,13:00,Real Betis - RC Celta,Miguel Ángel Ortiz Arias,2 - 2,2,2,Real Betis,RC Celta,13
2024-11-10,15:15,RCD Mallorca - Atlético de Madrid,José María Sánchez Martínez,0 - 1,0,1,RCD Mallorca,Atlético de Madrid,13
2024-11-10,17:30,Getafe CF - Girona FC,Juan Martínez Munuera,0 - 1,0,1,Getafe CF,Girona FC,13
2024-11-10,17:30,Real Valladolid CF - Athletic Club,Adrián Cordero Vega,1 - 1,1,1,Real Valladolid CF,Athletic Club,13
2024-11-10,20:00,Real Sociedad - FC Barcelona,Guillermo Cuadra Fernández,1 - 0,1,0,Real Sociedad,FC Barcelona,13
2024-12-18,20:30,RCD Espanyol de Barcelona - Valencia CF,Pablo González Fuertes,1 - 1,1,1,RCD Espanyol de Barcelona,Valencia CF,13
2024-11-22,20:00,Getafe CF - Real Valladolid CF,Pablo González Fuertes,2 - 0,2,0,Getafe CF,Real Valladolid CF,14
2024-11-23,13:00,Valencia CF - Real Betis,Ricardo De Burgos Bengoetxea,4 - 2,4,2,Valencia CF,Real Betis,14
2024-11-23,15:15,Atlético de Madrid - Deportivo Alavés,Víctor García Verdura,2 - 1,2,1,Atlético de Madrid,Deportivo Alavés,14
2024-11-23,17:30,UD Las Palmas - RCD Mallorca,Alejandro Muñiz Ruiz,2 - 3,2,3,UD Las Palmas,RCD Mallorca,14
2024-11-23,17:30,Girona FC - RCD Espanyol de Barcelona,Alejandro José Hernández Hernández,4 - 1,4,1,Girona FC,RCD Espanyol de Barcelona,14
2024-11-23,20:00,RC Celta - FC Barcelona,César Soto Grado,2 - 2,2,2,RC Celta,FC Barcelona,14
2024-11-24,13:00,CA Osasuna - Villarreal CF,José Luis Munuera Montero,2 - 2,2,2,CA Osasuna,Villarreal CF,14
2024-11-24,15:15,Sevilla FC - Rayo Vallecano,Mateo Busquets Ferrer,1 - 0,1,0,Sevilla FC,Rayo Vallecano,14
2024-11-24,17:30,CD Leganés - Real Madrid,Javier Alberola Rojas,0 - 3,0,3,CD Leganés,Real Madrid,14
2024-11-24,20:00,Athletic Club - Real Sociedad,Jesús Gil Manzano,1 - 0,1,0,Athletic Club,Real Sociedad,14
2024-11-29,20:00,RCD Mallorca - Valencia CF,Alejandro Quintero González,2 - 1,2,1,RCD Mallorca,Valencia CF,15
2024-11-30,13:00,FC Barcelona - UD Las Palmas,Adrián Cordero Vega,1 - 2,1,2,FC Barcelona,UD Las Palmas,15
2024-11-30,15:15,Deportivo Alavés - CD Leganés,Isidro Díaz de Mera Escuderos,1 - 1,1,1,Deportivo Alavés,CD Leganés,15
2024-11-30,17:30,RCD Espanyol de Barcelona - RC Celta,José María Sánchez Martínez,3 - 1,3,1,RCD Espanyol de Barcelona,RC Celta,15
2024-11-30,20:00,Real Valladolid CF - Atlético de Madrid,Guillermo Cuadra Fernández,0 - 5,0,5,Real Valladolid CF,Atlético de Madrid,15
2024-12-01,13:00,Villarreal CF - Girona FC,Miguel Ángel Ortiz Arias,2 - 2,2,2,Villarreal CF,Girona FC,15
2024-12-01,15:15,Real Madrid - Getafe CF,Alejandro José Hernández Hernández,2 - 0,2,0,Real Madrid,Getafe CF,15
2024-12-01,17:30,Rayo Vallecano - Athletic Club,Mario Melero López,1 - 2,1,2,Rayo Vallecano,Athletic Club,15
2024-12-01,20:00,Real Sociedad - Real Betis,Francisco José Hernández Maeso,2 - 0,2,0,Real Sociedad,Real Betis,15
2024-12-02,20:00,Sevilla FC - CA Osasuna,Juan Martínez Munuera,1 - 1,1,1,Sevilla FC,CA Osasuna,15
2024-12-06,20:00,RC Celta - RCD Mallorca,Ricardo De Burgos Bengoetxea,2 - 0,2,0,RC Celta,RCD Mallorca,16
2024-12-07,13:00,UD Las Palmas - Real Valladolid CF,Isidro Díaz de Mera Escuderos,2 - 1,2,1,UD Las Palmas,Real Valladolid CF,16
2024-12-07,15:15,Real Betis - FC Barcelona,Alejandro Muñiz Ruiz,2 - 2,2,2,Real Betis,FC Barcelona,16
2024-12-07,17:30,Valencia CF - Rayo Vallecano,José Luis Munuera Montero,0 - 1,0,1,Valencia CF,Rayo Vallecano,16
2024-12-07,20:00,Girona FC - Real Madrid,Jesús Gil Manzano,0 - 3,0,3,Girona FC,Real Madrid,16
2024-12-08,13:00,CD Leganés - Real Sociedad,Pablo González Fuertes,0 - 3,0,3,CD Leganés,Real Sociedad,16
2024-12-08,15:15,Athletic Club - Villarreal CF,Víctor García Verdura,2 - 0,2,0,Athletic Club,Villarreal CF,16
2024-12-08,17:30,CA Osasuna - Deportivo Alavés,César Soto Grado,2 - 2,2,2,CA Osasuna,Deportivo Alavés,16
2024-12-08,20:00,Atlético de Madrid - Sevilla FC,Javier Alberola Rojas,4 - 3,4,3,Atlético de Madrid,Sevilla FC,16
2024-12-09,20:00,Getafe CF - RCD Espanyol de Barcelona,Mateo Busquets Ferrer,1 - 0,1,0,Getafe CF,RCD Espanyol de Barcelona,16
2024-12-13,20:00,Real Valladolid CF - Valencia CF,Miguel Ángel Ortiz Arias,1 - 0,1,0,Real Valladolid CF,Valencia CF,17
2024-12-14,13:00,RCD Espanyol de Barcelona - CA Osasuna,Adrián Cordero Vega,0 - 0,0,0,RCD Espanyol de Barcelona,CA Osasuna,17
2024-12-14,15:15,RCD Mallorca - Girona FC,Francisco José Hernández Maeso,2 - 1,2,1,RCD Mallorca,Girona FC,17
2024-12-14,17:30,Sevilla FC - RC Celta,Jesús Gil Manzano,1 - 0,1,0,Sevilla FC,RC Celta,17
2024-12-14,20:00,Rayo Vallecano - Real Madrid,Juan Martínez Munuera,3 - 3,3,3,Rayo Vallecano,Real Madrid,17
2024-12-15,13:00,Atlético de Madrid - Getafe CF,César Soto Grado,1 - 0,1,0,Atlético de Madrid,Getafe CF,17
2024-12-15,15:15,Deportivo Alavés - Athletic Club,José María Sánchez Martínez,1 - 1,1,1,Deportivo Alavés,Athletic Club,17
2024-12-15,17:30,Villarreal CF - Real Betis,Guillermo Cuadra Fernández,1 - 2,1,2,Villarreal CF,Real Betis,17
2024-12-15,17:30,Real Sociedad - UD Las Palmas,Mario Melero López,0 - 0,0,0,Real Sociedad,UD Las Palmas,17
2024-12-15,20:00,FC Barcelona - CD Leganés,Alejandro Quintero González,0 - 1,0,1,FC Barcelona,CD Leganés,17
2024-12-20,20:00,Girona FC - Real Valladolid CF,Pablo González Fuertes,3 - 0,3,0,Girona FC,Real Valladolid CF,18
2024-12-21,13:00,Getafe CF - RCD Mallorca,José Luis Munuera Montero,0 - 1,0,1,Getafe CF,RCD Mallorca,18
2024-12-21,15:15,RC Celta - Real Sociedad,Mateo Busquets Ferrer,2 - 0,2,0,RC Celta,Real Sociedad,18
2024-12-21,17:30,CA Osasuna - Athletic Club,Alejandro Quintero González,1 - 2,1,2,CA Osasuna,Athletic Club,18
2024-12-21,20:00,FC Barcelona - Atlético de Madrid,Ricardo De Burgos Bengoetxea,1 - 2,1,2,FC Barcelona,Atlético de Madrid,18
2024-12-22,13:00,Valencia CF - Deportivo Alavés,Javier Alberola Rojas,2 - 2,2,2,Valencia CF,Deportivo Alavés,18
2024-12-22,15:15,Real Madrid - Sevilla FC,Isidro Díaz de Mera Escuderos,4 - 2,4,2,Real Madrid,Sevilla FC,18
2024-12-22,17:30,CD Leganés - Villarreal CF,Alejandro Muñiz Ruiz,2 - 5,2,5,CD Leganés,Villarreal CF,18
2024-12-22,17:30,UD Las Palmas - RCD Espanyol de Barcelona,César Soto Grado,1 - 0,1,0,UD Las Palmas,RCD Espanyol de Barcelona,18
2024-12-22,20:00,Real Betis - Rayo Vallecano,Víctor García Verdura,1 - 1,1,1,Real Betis,Rayo Vallecano,18
